Artist Name,Genre,Popularity,Followers,ID,URI,Followers to Popularity (%),Number of Genres,Genres,Years Active
Cage The Elephant,punk-rock,76,3931299,26T3LtbuGT1Fu9m0eRq5X3,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,5172761.84,5,"modern alternative rock, modern rock, pov: indie, punk blues, rock",Unknown
The Offspring,punk-rock,79,5933837,5LfGQac0EIXyAN8aUwmNAQ,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,7511186.08,7,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",Unknown
Sublime,punk-rock,73,3017076,0EdvGhlC1FkGItLOWQzG4J,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,4132980.82,4,"rap rock, reggae fusion, ska mexicano, ska punk",Unknown
The Cure,punk-rock,79,5925523,7bu3H8JO7d0UbMoVzbo70s,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,7500662.03,4,"new wave, permanent wave, rock, uk post-punk",Unknown
The Black Keys,punk-rock,73,4057917,7mnBLXK823vNxN3UWB7Gfz,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,5558790.41,9,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock",Unknown
Rise Against,punk-rock,73,2776173,6Wr3hh341P84m3EI8qdn9O,spotify:artist:6Wr3hh341P84m3EI8qdn9O,3802976.71,8,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",Unknown
Sum 41,punk-rock,75,4014622,0qT79UgT5tY4yudH9VfsdT,spotify:artist:0qT79UgT5tY4yudH9VfsdT,5352829.33,8,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock",Unknown
The White Stripes,punk-rock,72,3265664,4F84IBURUo98rz4r61KF70,spotify:artist:4F84IBURUo98rz4r61KF70,4535644.44,8,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock",Unknown
All Time Low,punk-rock,70,3080302,46gyXjRIvN1NL1eCB8GBxo,spotify:artist:46gyXjRIvN1NL1eCB8GBxo,4400431.43,3,"modern rock, neon pop punk, pop punk",Unknown
Talking Heads,punk-rock,71,2587819,2x9SpqnPi8rlE9pjHBwmSC,spotify:artist:2x9SpqnPi8rlE9pjHBwmSC,3644815.49,9,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",Unknown
Jimmy Eat World,punk-rock,70,1630724,3Ayl7mCk0nScecqOzvNp6s,spotify:artist:3Ayl7mCk0nScecqOzvNp6s,2329605.71,11,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock",Unknown
The All-American Rejects,punk-rock,68,2717559,3vAaWhdBR38Q02ohXqaNHT,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,3996410.29,7,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",Unknown
The Clash,punk-rock,72,2883735,3RGLhK1IP9jnYFH4BRFJBS,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,4005187.5,4,"alternative rock, permanent wave, punk, rock",Unknown
